Mots avec des préfixes multiples et un suffixe avec l'unicité :
-------------------------------------------------------------
abiogenèse | CRÉATION  SANS DE LA VIE | genèse - a - bio | gène - a+bio
angiocholécystite | INFLAMMATION  DU VAISSEAU DE LA BILE DE LA VESSIE -> DE LA VÉSICULE | ite - angio - cholé - cyst |  - ++
angiocholite | INFLAMMATION  DU VAISSEAU DE LA BILE | ite - angio - chol |  - +
angiodysplasie | FAÇONNEMENT  DU VAISSEAU DU TROUBLE | plasie - angio - dys | plasmo - +
angiohématique | À PROPOS  DU VAISSEAU DU SANG | ique - angio - hémat |  - +
angioleucologie | ÉTUDE  DU VAISSEAU BLANC(HE) | logie - angio - leuco | logo - +
anhydride | APPARENCE  SANS DE L'EAU | ide - an - hydr | eidos - an+hydro
anhydrite | INFLAMMATION  SANS DE L'EAU | ite - an - hydr |  - an+hydro
anhylognosie | CONNAISSANCE  SANS DE LA MATIÈRE | gnosie - an - hylo |  - an+
anisochromie | COULEUR  SANS IDENTIQUE | chromie - an - iso | chromo - an+iso
anisochrone | TEMPS  SANS IDENTIQUE | chrone - an - iso | chrono - an+iso
anisogamie | MARIAGE  SANS IDENTIQUE | gamie - an - iso | game - an+iso
anisométrique | MESURAGE  SANS IDENTIQUE | métrique - an - iso | métro (métron) - an+iso
anisoptère | AILE  SANS IDENTIQUE | ptère - an - iso |  - an+iso
anisotome | COUPURE  SANS IDENTIQUE | tome - an - iso | tomo - an+iso
anisotrope | ORIENTATION  SANS IDENTIQUE | trope - an - iso | trope - an+iso
anisotropie | ATTIRANCE  SANS IDENTIQUE | tropie - an - iso | trope - an+iso
anisotropique | ATTIRANCE  SANS IDENTIQUE | tropique - an - iso | trope - an+iso
anorogénique | DÉVELOPPEMENT  SANS DE LA MONTAGNE | génique - an - oro | gène - an+oro (oros)
anorthographie | ÉCRITURE  SANS DROIT(E) | graphie - an - ortho | grapho - an+
anorthosite | NOURRITURE  SANS DROIT(E) | site - an - ortho |  - an+
anosodiaphorie | PORTEUR  SANS DE LA MALADIE À TRAVERS | phorie - a - noso - dia | phore - a+noso+
anosognosie | CONNAISSANCE  SANS DE LA MALADIE | gnosie - a - noso |  - a+noso
antanaclase | CASSURE  CONTRE DE L'AUTRE / À TRAVERS / À NOUVEAU / VERS LE HAUT | clase - ant - ana | clase - anti+
antéhypophyse | PRODUCTION / CROISSANCE  ANTÉRIEUR(E) INFÉRIEUR(E) | physe - anté - hypo |  - +
antérograde | MARCHE  CONTRE DU DÉSIR | grade - ant - éro |  - anti+
anthérozoïde | ANIMAL  SANS DE LA BÊTE | zoïde - an - théro |  - an+
anthophyllite | INFLAMMATION  DE LA FLEUR DE LA FEUILLE | ite - antho - phyll |  - antho+
anthropobiologie | ÉTUDE  DE L'HOMME DE LA VIE | logie - anthropo - bio | logo - anthropo+bio
anthropobiologique | ÉTUDE  DE L'HOMME DE LA VIE | logique - anthropo - bio | logo - anthropo+bio
anthropobiologiste | SPÉCIALISTE  DE L'HOMME DE LA VIE | logiste - anthropo - bio | logo - anthropo+bio
anthropocentriste | ADEPTE / SPÉCIALISTE  DE L'HOMME DU CENTRE | iste - anthropo - centr |  - anthropo+centro
anthropoclimatologie | ÉTUDE  DE L'HOMME DE L'INCLINAISON -> DU CLIMAT | logie - anthropo - climato | logo - anthropo+
anthropogéographie | ÉCRITURE  DE L'HOMME DE LA TERRE | graphie - anthropo - géo | grapho - anthropo+géo
anthropomorphiste | ADEPTE / SPÉCIALISTE  DE L'HOMME DE LA FORME | iste - anthropo - morph |  - anthropo+morpho
anthropomorphologie | ÉTUDE  DE L'HOMME DE LA FORME | logie - anthropo - morpho | logo - anthropo+morpho
anthroponosologie | ÉTUDE  DE L'HOMME DE LA MALADIE | logie - anthropo - noso | logo - anthropo+noso
anthropophagique | À PROPOS  DE L'HOMME MANGÉ(E) / QUI MANGE | ique - anthropo - phag |  - anthropo+phago
anthroposomatologie | ÉTUDE  DE L'HOMME DU CORPS | logie - anthropo - somato | logo - anthropo+somato
anthroposomatologique | ÉTUDE  DE L'HOMME DU CORPS | logique - anthropo - somato | logo - anthropo+somato
anthropozoochore | EMPLACEMENT / DISSÉMINATION  DE L'HOMME DE L'ANIMAL | chore - anthropo - zoo |  - anthropo+
anthropozoologie | ÉTUDE  DE L'HOMME DE L'ANIMAL | logie - anthropo - zoo | logo - anthropo+
anthropozoonose | MALADIE  DE L'HOMME DE L'ANIMAL | nose - anthropo - zoo | noso - anthropo+
antiacide | QUI TUE  CONTRE SANS | cide - anti - a |  - anti+a
antiandrogène | GÉNÉRATEUR / ORIGINE  CONTRE DE L'HOMME / DU MALE | gène - anti - andro | gène - anti+andro
antiandrogénique | DÉVELOPPEMENT  CONTRE DE L'HOMME / DU MALE | génique - anti - andro | gène - anti+andro
antiatome | COUPURE  CONTRE SANS | tome - anti - a | tomo - anti+a
antiatomique | DÉCOUPE  CONTRE SANS | tomique - anti - a | tomo - anti+a
antiautomorphisme | FORME  CONTRE DE SOI-MÊME | morphisme - anti - auto | morpho - anti+
antibactéricide | QUI TUE  CONTRE DE LA BACTÉRIE | cide - anti - bactéri |  - anti+
antibactériologique | ÉTUDE  CONTRE DE LA BACTÉRIE | logique - anti - bactério | logo - anti+
antibiogramme | ÉCRITURE  CONTRE DE LA VIE | gramme - anti - bio | gramma - anti+bio
antibiothérapie | MÉDECINE  CONTRE DE LA VIE | thérapie - anti - bio | thérapie - anti+bio
anticalcique | À PROPOS  CONTRE DU CALCIUM | ique - anti - calc |  - anti+
anticatalyse | DÉCOMPOSITION  CONTRE VERS LE BAS | lyse - anti - cata |  - anti+
anticomanie | OBSESSION  CONTRE AVEC | manie - anti - co | mane (mania) - anti+
anticonformisme | FORME  CONTRE AVEC | formisme - anti - con | forme - anti+
anticyclogenèse | CRÉATION  CONTRE DE LA ROUE | genèse - anti - cyclo | gène - anti+cyclo
anticytotoxique | À PROPOS  CONTRE DE LA CELLULE TOXIQUE | ique - anti - cyto - tox |  - anti++
antidémocratique | GOUVERNANCE  CONTRE DU PEUPLE | cratique - anti - démo | crate - anti+démo
antiécologique | ÉTUDE  CONTRE DE LA MAISON -> DE L'ÉCOLOGIE / DE L'ÉCONOMIE | logique - anti - éco | logo - anti+
antiéconomique | LOI  CONTRE DE LA MAISON -> DE L'ÉCOLOGIE / DE L'ÉCONOMIE | nomique - anti - éco |  - anti+
antiendomorphisme | FORME  CONTRE À L'INTÉRIEUR | morphisme - anti - endo | morpho - anti+
antiépileptique | ATTAQUE  CONTRE SUR | leptique - anti - épi |  - anti+
antiferroélectrique | ÉLECTRIQUE  CONTRE DU FER | électrique - anti - ferro | électricité - anti+
antiferromagnétique | AIMANTATION  CONTRE DU FER | magnétique - anti - ferro | magnéto - anti+
antiferromagnétisme | AIMANTATION  CONTRE DU FER | magnétisme - anti - ferro | magnéto - anti+
antigénémie | SANG  CONTRE DE LA RACE | émie - anti - gén |  - anti+gène
antiglucocorticoïde | APPARENCE  CONTRE DU SUCRE DE L'ÉCORCE / DU CORTEX | ïde - anti - gluco - cortico |  - anti+gluco+
antihémophilique | À PROPOS  CONTRE DU SANG DE L'AMOUR | ique - anti - hémo - phil |  - anti++philo
antiholomorphe | FORME  CONTRE ENTIER(E) | morphe - anti - holo | morpho - anti+
antihomographie | ÉCRITURE  CONTRE IDENTIQUE | graphie - anti - homo | grapho - anti+homos
antihydrogène | GÉNÉRATEUR / ORIGINE  CONTRE DE L'EAU | gène - anti - hydro | gène - anti+hydro
antimétabolisme | JET  CONTRE AU-DELÀ / APRÈS | bolisme - anti - méta |  - anti+
antimonopole | VILLE  CONTRE UNIQUE | pole - anti - mono |  - anti+
antinévralgique | DOULEUR  CONTRE DU NERF | algique - anti - névr | algos - anti+
antioncogène | GÉNÉRATEUR / ORIGINE  CONTRE DE LA TUMEUR -> DU CANCER | gène - anti - onco | gène - anti+
antioxygène | GÉNÉRATEUR / ORIGINE  CONTRE AIGU(E) -> DE L'OXYGÈNE | gène - anti - oxy | gène - anti+oxy : aigu
antipanique | À PROPOS  CONTRE DE TOUT | ique - anti - pan |  - anti+
antiparasite | NOURRITURE  CONTRE À COTÉ | site - anti - para |  - anti+para
antipédagogique | GUIDAGE  CONTRE DE L'ENFANT | agogique - anti - péd | agogie : guider - anti+pédo (paidos)
antiphilosophique | SAGESSE  CONTRE DE L'AMOUR | sophique - anti - philo | sophia - anti+philo
antipneumococcique | GRAINE -> BACTÉRIE  CONTRE DU POUMON | coccique - anti - pneumo |  - anti+
antipolyurique | À PROPOS  CONTRE MULTIPLE DE L'URINE | ique - anti - poly - ur |  - anti++
antiprotozoaire | ANIMAL  CONTRE PREMIER(ÈRE) | zoaire - anti - proto |  - anti+
antipsychiatre | MÉDECIN  CONTRE DE L'ÂME | iatre - anti - psych | iatre - anti+
antipsychiatrie | MÉDECIN  CONTRE DE L'ÂME | iatrie - anti - psych | iatre - anti+
antistreptococcique | GRAINE -> BACTÉRIE  CONTRE TOURNÉ(E) | coccique - anti - strepto |  - anti+
antisymétrie | MESURE  CONTRE AVEC | métrie - anti - sy | métro (métron) - anti+syn
antisymétrique | MESURAGE  CONTRE AVEC | métrique - anti - sy | métro (métron) - anti+syn
antithermique | À PROPOS  CONTRE DE LA CHALEUR | ique - anti - therm |  - anti+thermo
antitoxique | À PROPOS  CONTRE TOXIQUE | ique - anti - tox |  - anti+
antizymique | À PROPOS  CONTRE DU LEVAIN -> DE L'ENZYME | ique - anti - zym |  - anti+
anurique | À PROPOS  SANS DE L'URINE | ique - an - ur |  - an+
apanagée | TERRE  SANS DE TOUT SANS | gée - a - pan - a |  - a++a
apantomancie | PRÉDICTION  SANS DE TOUT | mancie - a - panto | mancie - a+
apocatastase | ARRÊT  HORS VERS LE BAS | stase - apo - cata | statos - apo+
apochromatique | À PROPOS  HORS DE LA COULEUR | ique - apo - chromat |  - apo+chromo
apodiforme | FORME  HORS DOUBLE | forme - apo - di | forme - apo+di
aponévrectomie | ABLATION  HORS DU NERF | ectomie - apo - névr |  - apo+
aponévrosite | NOURRITURE  HORS DU NERF | site - apo - névro |  - apo+
aponévrotomie | DÉCOUPE  HORS DU NERF | tomie - apo - névro | tomo - apo+
apophyllite | INFLAMMATION  HORS DE LA FEUILLE | ite - apo - phyll |  - apo+
apoplasmique | À PROPOS  HORS DE LA FORMATION | ique - apo - plasm |  - apo+plasmo
aprotique | À PROPOS  SANS PREMIER(ÈRE) | ique - a - prot |  - a+
apyrogène | GÉNÉRATEUR / ORIGINE  SANS DU FEU | gène - a - pyro | gène - a+
archéozoologie | ÉTUDE  ANCIEN(NE) DE L'ANIMAL | logie - archéo - zoo | logo - archéo+
archéozoologique | ÉTUDE  ANCIEN(NE) DE L'ANIMAL | logique - archéo - zoo | logo - archéo+
archéozoologue | SPÉCIALISTE / DISCOURS  ANCIEN(NE) DE L'ANIMAL | logue - archéo - zoo | logo - archéo+
asociable | QUI PEUT ÊTRE  SANS PARTAGÉ(E) | able - a - soci |  - a+
asomatognosie | CONNAISSANCE  SANS DU CORPS | gnosie - a - somato |  - a+somato
aspermatogenèse | CRÉATION  SANS DE LA SEMENCE | genèse - a - spermato | gène - a+
astéréognosie | CONNAISSANCE  SANS SOLIDE -> ROBUSTE / DU RELIEF | gnosie - a - stéréo |  - a+
astrobiologie | ÉTUDE  DU CIEL DE LA VIE | logie - astro - bio | logo - astro+bio
astrogéodésique | À PROPOS  DU CIEL DE LA TERRE ENLEVER | ique - astro - géo - dés |  - astro+géo+
astrométéorologie | ÉTUDE  DU CIEL DU CIEL | logie - astro - météoro | logo - astro+météoro
astrométriste | ADEPTE / SPÉCIALISTE  DU CIEL DE LA MESURE | iste - astro - métr |  - astro+métro (métron)
astrophotographie | ÉCRITURE  DU CIEL DE LA LUMIÈRE | graphie - astro - photo | grapho - astro+
astrophotographique | ÉCRITURE  DU CIEL DE LA LUMIÈRE | graphique - astro - photo | grapho - astro+
astrophyllite | INFLAMMATION  DU CIEL DE LA FEUILLE | ite - astro - phyll |  - astro+
astrosismologie | ÉTUDE  DU CIEL DU TREMBLEMENT DE TERRE | logie - astro - sismo | logo - astro+
asymétrie | MESURE  SANS AVEC | métrie - a - sy | métro (métron) - a+syn
asymétrique | MESURAGE  SANS AVEC | métrique - a - sy | métro (métron) - a+syn
asynchrone | TEMPS  SANS AVEC | chrone - a - syn | chrono - a+syn
asynchronisme | TEMPORALITÉ  SANS AVEC | chronisme - a - syn | chrono - a+syn
asynergie | TRAVAIL  SANS AVEC | ergie - a - syn | ergo - a+syn
athéologie | ÉTUDE  SANS DU DIVIN | logie - a - théo | logo - a+
athéophobe | QUI A HORREUR  SANS DU DIVIN | phobe - a - théo | phobe - a+
athéophobie | AVERSION  SANS DU DIVIN | phobie - a - théo | phobe - a+
athermique | À PROPOS  SANS DE LA CHALEUR | ique - a - therm |  - a+thermo
atopognosie | CONNAISSANCE  SANS DU LIEU | gnosie - a - topo |  - a+
atoxique | À PROPOS  SANS TOXIQUE | ique - a - tox |  - a+
atrophodermie | PEAU  SANS DE LA NOURRITURE / DE LA CROISSANCE | dermie - a - tropho |  - a+tropho
audiophonologie | ÉTUDE  DU SON DE LA VOIX | logie - audio - phono | logo - audio+
audiophonologique | ÉTUDE  DU SON DE LA VOIX | logique - audio - phono | logo - audio+
audiovidéothèque | RANGEMENT  DU SON DE LA VIDÉO | thèque - audio - vidéo |  - audio+
autoanalgésie | DOULEUR  DE SOI-MÊME SANS | algésie - auto - an | algos - +an
autoanalyse | DÉCOMPOSITION  DE SOI-MÊME DE L'AUTRE / À TRAVERS / À NOUVEAU / VERS LE HAUT | lyse - auto - ana |  - +
autoantigène | GÉNÉRATEUR / ORIGINE  DE SOI-MÊME CONTRE | gène - auto - anti | gène - +anti
autoantigénique | DÉVELOPPEMENT  DE SOI-MÊME CONTRE | génique - auto - anti | gène - +anti
autobiographe | QUI ÉCRIT  DE SOI-MÊME DE LA VIE | graphe - auto - bio | grapho - +bio
autobiographie | ÉCRITURE  DE SOI-MÊME DE LA VIE | graphie - auto - bio | grapho - +bio
autobiographique | ÉCRITURE  DE SOI-MÊME DE LA VIE | graphique - auto - bio | grapho - +bio
autocatalyse | DÉCOMPOSITION  DE SOI-MÊME VERS LE BAS | lyse - auto - cata |  - +
autocatalytique | DÉCOMPOSITION  DE SOI-MÊME VERS LE BAS | lytique - auto - cata |  - +
autodialyse | DÉCOMPOSITION  DE SOI-MÊME À TRAVERS | lyse - auto - dia |  - +
autoécologie | ÉTUDE  DE SOI-MÊME DE LA MAISON -> DE L'ÉCOLOGIE / DE L'ÉCONOMIE | logie - auto - éco | logo - +
autoethnonyme | NOM  DE SOI-MÊME DU PEUPLE | nyme - auto - ethno |  - +ethno
autohémolyse | DÉCOMPOSITION  DE SOI-MÊME DU SANG | lyse - auto - hémo |  - +
autohémorrhée | ÉCOULEMENT  DE SOI-MÊME DU SANG | rrhée - auto - hémo |  - +
autohémothérapie | MÉDECINE  DE SOI-MÊME DU SANG | thérapie - auto - hémo | thérapie - +
autohistoradiographie | ÉCRITURE  DE SOI-MÊME DE LA TRAME / DU TISSU DE LA RADIO | graphie - auto - histo - radio | grapho - ++
autoprotolyse | DÉCOMPOSITION  DE SOI-MÊME PREMIER(ÈRE) | lyse - auto - proto |  - +
autoradiogramme | ÉCRITURE  DE SOI-MÊME DE LA RADIO | gramme - auto - radio | gramma - +
autoradiographie | ÉCRITURE  DE SOI-MÊME DE LA RADIO | graphie - auto - radio | grapho - +
autosymétrie | MESURE  DE SOI-MÊME AVEC | métrie - auto - sy | métro (métron) - +syn
autosymétrique | MESURAGE  DE SOI-MÊME AVEC | métrique - auto - sy | métro (métron) - +syn
autotopoagnosie | CONNAISSANCE  DE SOI-MÊME DU LIEU SANS | gnosie - auto - topo - a |  - ++a
autotoxique | À PROPOS  DE SOI-MÊME TOXIQUE | ique - auto - tox |  - +
azymique | À PROPOS  SANS DU LEVAIN -> DE L'ENZYME | ique - a - zym |  - a+
bactériochlorophylle | FEUILLE  DE LA BACTÉRIE VERT(E) | phylle - bactério - chloro |  - +chloro : vert
biacide | QUI TUE  DOUBLE SANS | cide - bi - a |  - bi+a
bibliophilique | À PROPOS  DU LIVRE DE L'AMOUR | ique - biblio - phil |  - +philo
bicalcique | À PROPOS  DOUBLE DU CALCIUM | ique - bi - calc |  - bi+
bicalcite | INFLAMMATION  DOUBLE DU CALCIUM | ite - bi - calc |  - bi+
bicentenaire | AGÉ(E)  DOUBLE DU CENTIÈME | enaire - bi - cent | enaire - bi+
bichromatique | À PROPOS  DOUBLE DE LA COULEUR | ique - bi - chromat |  - bi+chromo
biconique | À PROPOS  DOUBLE AVEC | ique - bi - con |  - bi+
bicycliste | ADEPTE / SPÉCIALISTE  DOUBLE DE LA ROUE | iste - bi - cycl |  - bi+cyclo
biholomorphe | FORME  DOUBLE ENTIER(E) | morphe - bi - holo | morpho - bi+
biholomorphisme | FORME  DOUBLE ENTIER(E) | morphisme - bi - holo | morpho - bi+
bimétallique | À PROPOS  DOUBLE DU MÉTAL | ique - bi - métall |  - bi+
bimétallisme | DOCTRINE / ÉTAT / PROFESSION  DOUBLE DU MÉTAL | isme - bi - métall |  - bi+
bimétalliste | ADEPTE / SPÉCIALISTE  DOUBLE DU MÉTAL | iste - bi - métall |  - bi+
bioastronomie | LOI  DE LA VIE DU CIEL | nomie - bio - astro |  - bio+astro
biobibliographie | ÉCRITURE  DE LA VIE DU LIVRE | graphie - bio - biblio | grapho - bio+
biobibliographique | ÉCRITURE  DE LA VIE DU LIVRE | graphique - bio - biblio | grapho - bio+
biocalorimétrie | MESURE  DE LA VIE DE LA CHALEUR | métrie - bio - calori | métro (métron) - bio+calori
biocalorimétrique | MESURAGE  DE LA VIE DE LA CHALEUR | métrique - bio - calori | métro (métron) - bio+calori
biocatalyse | DÉCOMPOSITION  DE LA VIE VERS LE BAS | lyse - bio - cata |  - bio+
bioclimatologie | ÉTUDE  DE LA VIE DE L'INCLINAISON -> DU CLIMAT | logie - bio - climato | logo - bio+
bioclimatologique | ÉTUDE  DE LA VIE DE L'INCLINAISON -> DU CLIMAT | logique - bio - climato | logo - bio+
bioclimatologiste | SPÉCIALISTE  DE LA VIE DE L'INCLINAISON -> DU CLIMAT | logiste - bio - climato | logo - bio+
biodégrade | MARCHE  DE LA VIE ENLEVER | grade - bio - dé |  - bio+
biogéochimie | CHIMIE  DE LA VIE DE LA TERRE | chimie - bio - géo | chimie - bio+géo
biogéochimique | CHIMIQUE  DE LA VIE DE LA TERRE | chimique - bio - géo | chimie - bio+géo
biogéographie | ÉCRITURE  DE LA VIE DE LA TERRE | graphie - bio - géo | grapho - bio+géo
biogéographique | ÉCRITURE  DE LA VIE DE LA TERRE | graphique - bio - géo | grapho - bio+géo
biométallurgie | TRAVAIL  DE LA VIE DU MÉTAL | urgie - bio - métall | ergo - bio+
biométéorologie | ÉTUDE  DE LA VIE DU CIEL | logie - bio - météoro | logo - bio+météoro
biopharmacologie | ÉTUDE  DE LA VIE DU MÉDICAMENT | logie - bio - pharmaco | logo - bio+
biophysiologie | ÉTUDE  DE LA VIE DU CORPS | logie - bio - physio | logo - bio+physio
biopolymère | PARTIE  DE LA VIE MULTIPLE | mère - bio - poly |  - bio+
biospéléologie | ÉTUDE  DE LA VIE DE LA CAVERNE | logie - bio - spéléo | logo - bio+
