mot;DÉFINITION;préfixe;suffixe;niveau préfixe;niveau suffixe;unicité préfixe;unicité suffixe;fréq. préfixe;fréq. suffixe
acrodynie;ÉNERGIE  ÉLEVÉ(E) / EXTRÊME;acro;dynie;3;2;;dyne;Frequent;Moyen
acroïde;APPARENCE  ÉLEVÉ(E) / EXTRÊME;acro;ïde;3;3;;;Frequent;Frequent
acrolithe;PIERRE  ÉLEVÉ(E) / EXTRÊME;acro;lithe;3;2;;litho;Frequent;Frequent
acromégalie;GRANDEUR  ÉLEVÉ(E) / EXTRÊME;acro;mégalie;3;1;;mégalo;Frequent;Moyen
acronyme;NOM  ÉLEVÉ(E) / EXTRÊME;acr(o);onyme;3;3;;;Frequent;Frequent
acronymie;NOM  ÉLEVÉ(E) / EXTRÊME;acro;nymie;3;3;;;Frequent;Moyen
acropathie;MALADIE  ÉLEVÉ(E) / EXTRÊME;acro;pathie;3;2;;patho (souffrance);Frequent;Frequent
acropète;QUI VA VERS  ÉLEVÉ(E) / EXTRÊME;acro;pète;3;2;;;Frequent;Rare
acrophobie;AVERSION  ÉLEVÉ(E) / EXTRÊME;acro;phobie;3;1;;phobe;Frequent;Frequent
acrophonie;VOIX  ÉLEVÉ(E) / EXTRÊME;acro;phonie;3;1;;;Frequent;Frequent
acropode;PIED  ÉLEVÉ(E) / EXTRÊME;acro;pode;3;2;;;Frequent;Frequent
acropole;VILLE  ÉLEVÉ(E) / EXTRÊME;acro;pole;3;2;;;Frequent;Moyen
acrosome;CORPS  ÉLEVÉ(E) / EXTRÊME;acro;some;3;2;;somato;Frequent;Frequent
actinifère;PORTER  DU RAYON;actini;fère;3;2;;;Rare;Frequent
actinique;À PROPOS  DU RAYON;actin;ique;3;2;;;Moyen;Frequent
actinisme;DOCTRINE / ÉTAT / PROFESSION  DU RAYON;actin;isme;3;2;;;Moyen;Frequent
actinite;INFLAMMATION  DU RAYON;actin;ite;3;2;;;Moyen;Frequent
actinologie;ÉTUDE  DU RAYON;actino;logie;3;1;;logo;Moyen;Frequent
actinologique;ÉTUDE  DU RAYON;actino;logique;3;1;;logo;Moyen;Frequent
actinomètre;MESUREUR  DU RAYON;actino;mètre;3;1;;métro (métron);Moyen;Frequent
actinométrie;MESURE  DU RAYON;actino;métrie;3;1;;métro (métron);Moyen;Frequent
actinométrique;MESURAGE  DU RAYON;actino;métrique;3;1;;métro (métron);Moyen;Frequent
actinomorphe;FORME  DU RAYON;actino;morphe;3;1;;morpho;Moyen;Frequent
actinomycète;CHAMPIGNON  DU RAYON;actino;mycète;3;2;;;Moyen;Moyen
actinomycose;CHAMPIGNON  DU RAYON;actino;mycose;3;2;;;Moyen;Moyen
actinopode;PIED  DU RAYON;actino;pode;3;2;;;Moyen;Frequent
actinoscopie;EXAMEN  DU RAYON;actino;scopie;3;1;;scope;Moyen;Frequent
actinothérapie;MÉDECINE  DU RAYON;actino;thérapie;3;1;;thérapie;Moyen;Frequent
actinotropisme;ATTIRANCE  DU RAYON;actino;tropisme;3;2;;trope;Moyen;Frequent
acyclique;CIRCULARITÉ  SANS;a;cyclique;1;1;a;cyclo;Frequent;Frequent
addictologie;ÉTUDE  DE L'ADDICTION;addicto;logie;1;1;;logo;Rare;Frequent
addictologique;ÉTUDE  DE L'ADDICTION;addicto;logique;1;1;;logo;Rare;Frequent
addictologue;SPÉCIALISTE / DISCOURS  DE L'ADDICTION;addicto;logue;1;1;;logo;Rare;Frequent
adénalgie;DOULEUR  DE LA GLANDE;adén;algie;3;2;;algos;Moyen;Frequent
adénectomie;ABLATION  DE LA GLANDE;adén;ectomie;3;2;;;Moyen;Frequent
adénite;INFLAMMATION  DE LA GLANDE;adén;ite;3;2;;;Moyen;Frequent
adénocarpe;POIGNET  DE LA GLANDE;adéno;carpe;3;3;;;Moyen;Moyen
adénogramme;ÉCRITURE  DE LA GLANDE;adéno;gramme;3;2;;gramma;Moyen;Frequent
adénoïde;APPARENCE  DE LA GLANDE;adéno;ïde;3;3;;;Moyen;Frequent
adénomégalie;GRANDEUR  DE LA GLANDE;adéno;mégalie;3;1;;mégalo;Moyen;Moyen
adénopathie;MALADIE  DE LA GLANDE;adéno;pathie;3;2;;patho (souffrance);Moyen;Frequent
adénostyle;COLONNE  DE LA GLANDE;adéno;style;3;2;;;Moyen;Frequent
adynamique;MOUVEMENT  SANS;a;dynamique;1;2;a;dyne;Frequent;Frequent
aérobie;VIE  DE L'AIR;aéro;bie;1;1;;bio;Frequent;Moyen
aérocèle;TUMEUR / HERNIE  DE L'AIR;aéro;cèle;1;3;;;Frequent;Frequent
aérocyste;VESSIE -> VÉSICULE  DE L'AIR;aéro;cyste;1;3;;;Frequent;Moyen
aérodrome;PISTE  DE L'AIR;aéro;drome;1;1;;drome;Frequent;Moyen
aérodynamique;MOUVEMENT  DE L'AIR;aéro;dynamique;1;2;;dyne;Frequent;Frequent
aérodynamisme;MOUVEMENT  DE L'AIR;aéro;dynamisme;1;2;;dyne;Frequent;Rare
aérodyne;ÉNERGIE  DE L'AIR;aéro;dyne;1;2;;dyne;Frequent;Moyen
aéroélastique;ÉLASTIQUE  DE L'AIR;aéro;élastique;1;1;;;Frequent;Moyen
aéroélectrique;ÉLECTRIQUE  DE L'AIR;aéro;électrique;1;1;;électricité;Frequent;Moyen
aérogastrie;VENTRE / ESTOMAC  DE L'AIR;aéro;gastrie;1;2;;gastro;Frequent;Rare
aérogène;GÉNÉRATEUR / ORIGINE  DE L'AIR;aéro;gène;1;2;;gène;Frequent;Frequent
aérogramme;ÉCRITURE  DE L'AIR;aéro;gramme;1;2;;gramma;Frequent;Frequent
aérographe;QUI ÉCRIT  DE L'AIR;aéro;graphe;1;2;;grapho;Frequent;Frequent
aérographie;ÉCRITURE  DE L'AIR;aéro;graphie;1;2;;grapho;Frequent;Frequent
aérolithe;PIERRE  DE L'AIR;aéro;lithe;1;2;;litho;Frequent;Frequent
aérolithique;PIERRE  DE L'AIR;aéro;lithique;1;2;;litho;Frequent;Moyen
aérologie;ÉTUDE  DE L'AIR;aéro;logie;1;1;;logo;Frequent;Frequent
aérologique;ÉTUDE  DE L'AIR;aéro;logique;1;1;;logo;Frequent;Frequent
aéromancie;PRÉDICTION  DE L'AIR;aéro;mancie;1;2;;mancie;Frequent;Frequent
aéromancien;PRÉDICTEUR  DE L'AIR;aéro;mancien;1;2;;mancie;Frequent;Moyen
aéromètre;MESUREUR  DE L'AIR;aéro;mètre;1;1;;métro (métron);Frequent;Frequent
aérométrie;MESURE  DE L'AIR;aéro;métrie;1;1;;métro (métron);Frequent;Frequent
aéromobile;VÉHICULE  DE L'AIR;aéro;mobile;1;1;;;Frequent;Moyen
aéronaute;NAVIGATEUR  DE L'AIR;aéro;naute;1;1;;naute;Frequent;Moyen
aéronautique;NAVIGATION  DE L'AIR;aéro;nautique;1;1;;naute;Frequent;Rare
aéronome;LOI  DE L'AIR;aéro;nome;1;2;;;Frequent;Frequent
aéronomie;LOI  DE L'AIR;aéro;nomie;1;2;;;Frequent;Frequent
aéronomique;LOI  DE L'AIR;aéro;nomique;1;2;;;Frequent;Frequent
aéropathie;MALADIE  DE L'AIR;aéro;pathie;1;2;;patho (souffrance);Frequent;Frequent
aérophagie;ALIMENTATION  DE L'AIR;aéro;phagie;1;2;;phago;Frequent;Frequent
aérophobie;AVERSION  DE L'AIR;aéro;phobie;1;1;;phobe;Frequent;Frequent
aérophone;VOIX  DE L'AIR;aéro;phone;1;1;;;Frequent;Frequent
aéroplane;PLAN(E)  DE L'AIR;aéro;plane;1;2;;plano;Frequent;Rare
aéroport;PASSAGE  DE L'AIR;aéro;port;1;3;;poros;Frequent;Moyen
aéroscope;VISIONNEUSE  DE L'AIR;aéro;scope;1;1;;scope;Frequent;Frequent
aérostat;MAINTIEN  DE L'AIR;aéro;stat;1;2;;statos;Frequent;Moyen
aérostatique;ARRÊT  DE L'AIR;aéro;statique;1;2;;statos;Frequent;Frequent
aérotechnique;TECHNIQUE  DE L'AIR;aéro;technique;1;1;;;Frequent;Frequent
aérothérapie;MÉDECINE  DE L'AIR;aéro;thérapie;1;1;;thérapie;Frequent;Frequent
aérotherme;CHALEUR  DE L'AIR;aéro;therme;1;1;;thermo;Frequent;Moyen
aérothermie;CHALEUR  DE L'AIR;aéro;thermie;1;1;;thermo;Frequent;Frequent
agame;MARIÉ  SANS;a;game;1;2;a;game;Frequent;Frequent
agamie;MARIAGE  SANS;a;gamie;1;2;a;game;Frequent;Frequent
agénésie;CRÉATION  SANS;a;génésie;1;2;a;gène;Frequent;Moyen
agénie;DÉVELOPPEMENT  SANS;a;génie;1;2;a;gène;Frequent;Frequent
aglosse;LANGUE  SANS;a;glosse;1;3;a;glosso;Frequent;Moyen
aglossie;LANGUE  SANS;a;glossie;1;3;a;glosso;Frequent;Moyen
aglyphe;GRAVURE  SANS;a;glyphe;1;2;a;;Frequent;Moyen
agnathe;MÂCHOIRE  SANS;a;gnathe;1;3;a;;Frequent;Moyen
agnathie;MÂCHOIRE  SANS;a;gnathie;1;3;a;;Frequent;Moyen
agnosie;CONNAISSANCE  SANS;a;gnosie;1;2;a;;Frequent;Frequent
agonie;PROCRÉATION  SANS;a;gonie;1;2;a;gono (gonos);Frequent;Moyen
agoranome;LOI  DU LIEU PUBLIC;agora;nome;2;2;;;Rare;Frequent
agoraphobe;QUI A HORREUR  DU LIEU PUBLIC;agora;phobe;2;1;;phobe;Rare;Moyen
agoraphobie;AVERSION  DU LIEU PUBLIC;agora;phobie;2;1;;phobe;Rare;Frequent
agraphie;ÉCRITURE  SANS;a;graphie;1;2;a;grapho;Frequent;Frequent
agraphique;ÉCRITURE  SANS;a;graphique;1;2;a;grapho;Frequent;Frequent
agricole;CULTIVER / HABITER / RENDRE UN CULTE  DU CHAMP;agri;cole;1;2;;cult;Rare;Frequent
agriculteur;CULTIVATEUR  DU CHAMP;agri;culteur;1;2;;cult;Rare;Moyen
agriculture;CULTURE  DU CHAMP;agri;culture;1;2;;cult;Rare;Frequent
agrochimie;CHIMIE  DU CHAMP;agro;chimie;1;1;;chimie;Frequent;Frequent
agrochimique;CHIMIQUE  DU CHAMP;agro;chimique;1;1;;chimie;Frequent;Frequent
agrologie;ÉTUDE  DU CHAMP;agro;logie;1;1;;logo;Frequent;Frequent
agrologique;ÉTUDE  DU CHAMP;agro;logique;1;1;;logo;Frequent;Frequent
agronome;LOI  DU CHAMP;agro;nome;1;2;;;Frequent;Frequent
agronomie;LOI  DU CHAMP;agro;nomie;1;2;;;Frequent;Frequent
agronomique;LOI  DU CHAMP;agro;nomique;1;2;;;Frequent;Frequent
agrotechnique;TECHNIQUE  DU CHAMP;agro;technique;1;1;;;Frequent;Frequent
akinésie;MOUVEMENT  SANS;a;kinésie;1;2;a;cinèse;Frequent;Moyen
alexie;LECTURE  SANS;a;lexie;1;2;a;;Frequent;Rare
alexique;LECTURE  SANS;a;lexique;1;2;a;;Frequent;Rare
algoculteur;CULTIVATEUR  DE L'ALGUE;algo;culteur;2;2;alga;cult;Moyen;Moyen
algoculture;CULTURE  DE L'ALGUE;algo;culture;2;2;alga;cult;Moyen;Frequent
algogène;GÉNÉRATEUR / ORIGINE  DE LA DOULEUR;algo;gène;2;2;algos;gène;Moyen;Frequent
algognosie;CONNAISSANCE  DE LA DOULEUR;algo;gnosie;2;2;algos;;Moyen;Frequent
algoïde;APPARENCE  DE L'ALGUE;algo;ïde;2;3;alga;;Moyen;Frequent
algologie;ÉTUDE  DE LA DOULEUR;algo;logie;2;1;algos;logo;Moyen;Frequent
algologique;ÉTUDE  DE LA DOULEUR;algo;logique;2;1;algos;logo;Moyen;Frequent
algologue;SPÉCIALISTE / DISCOURS  DE LA DOULEUR;algo;logue;2;1;algos;logo;Moyen;Frequent
algophile;AMOUREUX  DE LA DOULEUR;algo;phile;2;1;algos;philo;Moyen;Frequent
algophilie;AMOUR  DE LA DOULEUR;algo;philie;2;1;algos;philo;Moyen;Frequent
algophobe;QUI A HORREUR  DE LA DOULEUR;algo;phobe;2;1;algos;phobe;Moyen;Moyen
algophobie;AVERSION  DE LA DOULEUR;algo;phobie;2;1;algos;phobe;Moyen;Frequent
algothérapie;MÉDECINE  DE L'ALGUE;algo;thérapie;2;1;alga;thérapie;Moyen;Frequent
allocentrique;CENTRÉ  DE L'AUTRE;allo;centrique;3;1;allo;centro;Frequent;Frequent
allocentrisme;CENTRAGE  DE L'AUTRE;allo;centrisme;3;1;allo;centro;Frequent;Moyen
allodynie;ÉNERGIE  DE L'AUTRE;allo;dynie;3;2;allo;dyne;Frequent;Moyen
alloesthésie;SENSATION  DE L'AUTRE;allo;esthésie;3;2;allo;;Frequent;Frequent
allogame;MARIÉ  DE L'AUTRE;allo;game;3;2;allo;game;Frequent;Frequent
allogamie;MARIAGE  DE L'AUTRE;allo;gamie;3;2;allo;game;Frequent;Frequent
allogène;GÉNÉRATEUR / ORIGINE  DE L'AUTRE;allo;gène;3;2;allo;gène;Frequent;Frequent
allogénique;DÉVELOPPEMENT  DE L'AUTRE;allo;génique;3;2;allo;gène;Frequent;Frequent
alloglossie;LANGUE  DE L'AUTRE;allo;glossie;3;3;allo;glosso;Frequent;Moyen
allographe;QUI ÉCRIT  DE L'AUTRE;allo;graphe;3;2;allo;grapho;Frequent;Frequent
allolalie;BAVARDAGE  DE L'AUTRE;allo;lalie;3;3;allo;;Frequent;Moyen
allométrie;MESURE  DE L'AUTRE;allo;métrie;3;1;allo;métro (métron);Frequent;Frequent
allométrique;MESURAGE  DE L'AUTRE;allo;métrique;3;1;allo;métro (métron);Frequent;Frequent
allomorphe;FORME  DE L'AUTRE;allo;morphe;3;1;allo;morpho;Frequent;Frequent
allomorphie;FORME  DE L'AUTRE;allo;morphie;3;1;allo;morpho;Frequent;Moyen
allomorphisme;FORME  DE L'AUTRE;allo;morphisme;3;1;allo;morpho;Frequent;Frequent
allopathe;MALADE  DE L'AUTRE;allo;pathe;3;2;allo;patho (souffrance);Frequent;Moyen
allopathie;MALADIE  DE L'AUTRE;allo;pathie;3;2;allo;patho (souffrance);Frequent;Frequent
allopathique;MALADIE  DE L'AUTRE;allo;pathique;3;2;allo;patho (souffrance);Frequent;Frequent
allophane;APPARITION  DE L'AUTRE;allo;phane;3;3;allo;;Frequent;Moyen
allophone;VOIX  DE L'AUTRE;allo;phone;3;1;allo;;Frequent;Frequent
allophtalmie;OEIL  DE L'AUTRE;all(o);ophtalmie;3;2;allo;ophtalmo;Frequent;Moyen
allosaure;LÉZARD  DE L'AUTRE;allo;saure;3;2;allo;;Frequent;Moyen
allosome;CORPS  DE L'AUTRE;allo;some;3;2;allo;somato;Frequent;Frequent
allotrope;ORIENTATION  DE L'AUTRE;allo;trope;3;2;allo;trope;Frequent;Frequent
allotrophie;NOURRITURE / CROISSANCE  DE L'AUTRE;allo;trophie;3;3;allo;tropho;Frequent;Frequent
allotropie;ATTIRANCE  DE L'AUTRE;allo;tropie;3;2;allo;trope;Frequent;Moyen
allotropique;ATTIRANCE  DE L'AUTRE;allo;tropique;3;2;allo;trope;Frequent;Moyen
allotype;EMPREINTE  DE L'AUTRE;allo;type;3;2;allo;;Frequent;Frequent
allotypie;EMPREINTE  DE L'AUTRE;allo;typie;3;2;allo;;Frequent;Moyen
alogie;ÉTUDE  SANS;a;logie;1;1;a;logo;Frequent;Frequent
alogique;ÉTUDE  SANS;a;logique;1;1;a;logo;Frequent;Frequent
altimètre;MESUREUR  ÉLEVÉ(E);alti;mètre;2;1;;métro (métron);Moyen;Frequent
altimétrie;MESURE  ÉLEVÉ(E);alti;métrie;2;1;;métro (métron);Moyen;Frequent
altimétrique;MESURAGE  ÉLEVÉ(E);alti;métrique;2;1;;métro (métron);Moyen;Frequent
altiport;PASSAGE  ÉLEVÉ(E);alti;port;2;3;;poros;Moyen;Moyen
altitude;QUALITÉ / ÉTAT  ÉLEVÉ(E);alti;tude;2;2;;;Moyen;Moyen
alysie;DÉCOMPOSITION  SANS;a;lysie;1;2;a;;Frequent;Rare
amagnétique;AIMANTATION  SANS;a;magnétique;1;1;a;magnéto;Frequent;Moyen
ambipare;QUI ENGENDRE  DOUBLE;ambi;pare;2;2;ambi;;Rare;Moyen
ambisexué;SEXUÉ  DOUBLE;ambi;sexué;2;1;ambi;sexo;Rare;Moyen
ambivalent;VALEUR / SENS / CAPACITÉ / ASPECT  DOUBLE;ambi;valent;2;2;ambi;valent;Rare;Moyen
amélie;MEMBRE  SANS;a;mélie;1;3;a;mélos : membre;Frequent;Moyen
amère;PARTIE  SANS;a;mère;1;3;a;;Frequent;Frequent
amimie;IMITATION  SANS;a;mimie;1;2;a;;Frequent;Moyen
amnésie;MÉMOIRE  SANS;a;mnésie;1;2;a;;Frequent;Moyen
amnésique;MÉMOIRE  SANS;a;mnésique;1;2;a;;Frequent;Rare
amniocentèse;PIQURE  DU BASSIN;amnio;centèse;3;3;;;Moyen;Rare
amniographie;ÉCRITURE  DU BASSIN;amnio;graphie;3;2;;grapho;Moyen;Frequent
amniomancie;PRÉDICTION  DU BASSIN;amnio;mancie;3;2;;mancie;Moyen;Frequent
amniorrhée;ÉCOULEMENT  DU BASSIN;amnio;rrhée;3;2;;;Moyen;Frequent
amnioscope;VISIONNEUSE  DU BASSIN;amnio;scope;3;1;;scope;Moyen;Frequent
amnioscopie;EXAMEN  DU BASSIN;amnio;scopie;3;1;;scope;Moyen;Frequent
amorphe;FORME  SANS;a;morphe;1;1;a;morpho;Frequent;Frequent
amorphisme;FORME  SANS;a;morphisme;1;1;a;morpho;Frequent;Frequent
amphibie;VIE  DES DEUX CÔTÉS;amphi;bie;3;1;;bio;Moyen;Moyen
amphibiotique;VIE  DES DEUX CÔTÉS;amphi;biotique;3;1;;bio;Moyen;Moyen
amphibole;JET  DES DEUX CÔTÉS;amphi;bole;3;3;;;Moyen;Moyen
amphibolique;JET  DES DEUX CÔTÉS;amphi;bolique;3;3;;;Moyen;Moyen
amphide;APPARENCE  DES DEUX CÔTÉS;amph;ide;3;3;;eidos;Rare;Frequent
amphidrome;PISTE  DES DEUX CÔTÉS;amphi;drome;3;1;;drome;Moyen;Moyen
amphidromie;COURSE  DES DEUX CÔTÉS;amphi;dromie;3;1;;drome;Moyen;Moyen
amphigastre;VENTRE / ESTOMAC  DES DEUX CÔTÉS;amphi;gastre;3;2;;gastro;Moyen;Rare
amphinome;LOI  DES DEUX CÔTÉS;amphi;nome;3;2;;;Moyen;Frequent
amphipathique;MALADIE  DES DEUX CÔTÉS;amphi;pathique;3;2;;patho (souffrance);Moyen;Frequent
amphiphile;AMOUREUX  DES DEUX CÔTÉS;amphi;phile;3;1;;philo;Moyen;Frequent
amphipode;PIED  DES DEUX CÔTÉS;amphi;pode;3;2;;;Moyen;Frequent
amphiptère;AILE  DES DEUX CÔTÉS;amphi;ptère;3;2;;;Moyen;Frequent
amphistome;BOUCHE  DES DEUX CÔTÉS;amphi;stome;3;3;;;Moyen;Frequent
amphophile;AMOUREUX  DES DEUX CÔTÉS;ampho;phile;3;1;;philo;Rare;Frequent
amylique;À PROPOS  DE LA FARINE / DE L'AMIDON;amyl;ique;3;2;;;Rare;Frequent
amylobacter;BACTÉRIE  DE LA FARINE / DE L'AMIDON;amylo;bacter;3;1;;;Moyen;Rare
amyloïde;APPARENCE  DE LA FARINE / DE L'AMIDON;amylo;ïde;3;3;;;Moyen;Frequent
amylolyse;DÉCOMPOSITION  DE LA FARINE / DE L'AMIDON;amylo;lyse;3;2;;;Moyen;Frequent
amylolytique;DÉCOMPOSITION  DE LA FARINE / DE L'AMIDON;amylo;lytique;3;2;;;Moyen;Frequent
amyloplaste;MODELEUR  DE LA FARINE / DE L'AMIDON;amylo;plaste;3;3;;plasmo;Moyen;Moyen
anabiotique;VIE  DE L'AUTRE / À TRAVERS / À NOUVEAU / VERS LE HAUT;ana;biotique;3;1;;bio;Frequent;Moyen
anabolique;JET  DE L'AUTRE / À TRAVERS / À NOUVEAU / VERS LE HAUT;ana;bolique;3;3;;;Frequent;Moyen
anabolisme;JET  DE L'AUTRE / À TRAVERS / À NOUVEAU / VERS LE HAUT;ana;bolisme;3;3;;;Frequent;Moyen
anacarde;CŒUR  DE L'AUTRE / À TRAVERS / À NOUVEAU / VERS LE HAUT;ana;carde;3;1;;;Frequent;Moyen
anachronique;TEMPOREL(LE)  DE L'AUTRE / À TRAVERS / À NOUVEAU / VERS LE HAUT;ana;chronique;3;1;;chrono;Frequent;Moyen
anachronisme;TEMPORALITÉ  DE L'AUTRE / À TRAVERS / À NOUVEAU / VERS LE HAUT;ana;chronisme;3;1;;chrono;Frequent;Moyen
anaclase;CASSURE  DE L'AUTRE / À TRAVERS / À NOUVEAU / VERS LE HAUT;ana;clase;3;3;;clase;Frequent;Moyen
anacycle;CERCLE  DE L'AUTRE / À TRAVERS / À NOUVEAU / VERS LE HAUT;ana;cycle;3;1;;cyclo;Frequent;Moyen
anacyclique;CIRCULARITÉ  DE L'AUTRE / À TRAVERS / À NOUVEAU / VERS LE HAUT;ana;cyclique;3;1;;cyclo;Frequent;Frequent
anadrome;PISTE  DE L'AUTRE / À TRAVERS / À NOUVEAU / VERS LE HAUT;ana;drome;3;1;;drome;Frequent;Moyen
anagène;GÉNÉRATEUR / ORIGINE  DE L'AUTRE / À TRAVERS / À NOUVEAU / VERS LE HAUT;ana;gène;3;2;;gène;Frequent;Frequent
anagenèse;CRÉATION  DE L'AUTRE / À TRAVERS / À NOUVEAU / VERS LE HAUT;ana;genèse;3;2;;gène;Frequent;Frequent
anaglyphe;GRAVURE  DE L'AUTRE / À TRAVERS / À NOUVEAU / VERS LE HAUT;ana;glyphe;3;2;;;Frequent;Moyen
anagogie;GUIDAGE  SANS;an;agogie;2;2;an;agogie : guider;Frequent;Moyen
anagogique;GUIDAGE  SANS;an;agogique;2;2;an;agogie : guider;Frequent;Moyen
anagramme;ÉCRITURE  DE L'AUTRE / À TRAVERS / À NOUVEAU / VERS LE HAUT;ana;gramme;3;2;;gramma;Frequent;Frequent
anagyre;QUI TOURNE  DE L'AUTRE / À TRAVERS / À NOUVEAU / VERS LE HAUT;ana;gyre;3;2;;;Frequent;Moyen
analepsie;ATTAQUE  DE L'AUTRE / À TRAVERS / À NOUVEAU / VERS LE HAUT;ana;lepsie;3;2;;;Frequent;Moyen
analeptique;ATTAQUE  DE L'AUTRE / À TRAVERS / À NOUVEAU / VERS LE HAUT;ana;leptique;3;2;;;Frequent;Moyen
analgésie;DOULEUR  SANS;an;algésie;2;2;an;algos;Frequent;Moyen
analgésique;DOULEUR  SANS;an;algésique;2;2;an;algos;Frequent;Rare
analgie;DOULEUR  SANS;an;algie;2;2;an;algos;Frequent;Frequent
analogie;ÉTUDE  DE L'AUTRE / À TRAVERS / À NOUVEAU / VERS LE HAUT;ana;logie;3;1;;logo;Frequent;Frequent
analogique;ÉTUDE  DE L'AUTRE / À TRAVERS / À NOUVEAU / VERS LE HAUT;ana;logique;3;1;;logo;Frequent;Frequent
analogisme;ÉTUDE  DE L'AUTRE / À TRAVERS / À NOUVEAU / VERS LE HAUT;ana;logisme;3;1;;logo;Frequent;Moyen
analogiste;SPÉCIALISTE  DE L'AUTRE / À TRAVERS / À NOUVEAU / VERS LE HAUT;ana;logiste;3;1;;logo;Frequent;Frequent
analogue;SPÉCIALISTE / DISCOURS  DE L'AUTRE / À TRAVERS / À NOUVEAU / VERS LE HAUT;ana;logue;3;1;;logo;Frequent;Frequent
analyse;DÉCOMPOSITION  DE L'AUTRE / À TRAVERS / À NOUVEAU / VERS LE HAUT;ana;lyse;3;2;;;Frequent;Frequent
analytique;DÉCOMPOSITION  DE L'AUTRE / À TRAVERS / À NOUVEAU / VERS LE HAUT;ana;lytique;3;2;;;Frequent;Frequent
anamorphe;FORME  DE L'AUTRE / À TRAVERS / À NOUVEAU / VERS LE HAUT;ana;morphe;3;1;;morpho;Frequent;Frequent
anamorphique;FORME  DE L'AUTRE / À TRAVERS / À NOUVEAU / VERS LE HAUT;ana;morphique;3;1;;morpho;Frequent;Moyen
anamorphose;FORME  DE L'AUTRE / À TRAVERS / À NOUVEAU / VERS LE HAUT;ana;morphose;3;1;;morpho;Frequent;Moyen
anaphasique;DIRE  DE L'AUTRE / À TRAVERS / À NOUVEAU / VERS LE HAUT;ana;phasique;3;3;;;Frequent;Moyen
anaphore;PORTEUR  DE L'AUTRE / À TRAVERS / À NOUVEAU / VERS LE HAUT;ana;phore;3;3;;phore;Frequent;Frequent
anaphorique;PORTEUR  DE L'AUTRE / À TRAVERS / À NOUVEAU / VERS LE HAUT;ana;phorique;3;3;;phore;Frequent;Moyen
